	control1	control2	control3	dmd1	dmd2	dmd3
ENSG00000276704	7	0	0	0	0	0
ENSG00000271625	0	0	0	0	0	0
ENSG00000226134	0	0	0	0	0	0
ENSG00000286544	0	0	0	0	0	0
ENSG00000233291	0	0	0	0	0	0
ENSG00000270725	0	0	0	0	0	0
ENSG00000065150	6959	5332	6868	3890	4359	4434
ENSG00000232217	0	0	0	0	0	0
ENSG00000152767	5003	3160	3297	2471	4094	3265
ENSG00000139797	0	0	0	0	0	0
ENSG00000222969	0	0	0	0	0	0
ENSG00000263399	0	0	0	0	0	0
ENSG00000269189	5	0	9	0	0	0
ENSG00000269599	0	0	0	0	0	0
ENSG00000231194	4	0	2	0	4	0
ENSG00000102572	1990	1923	1799	1094	1994	1339
ENSG00000271437	0	0	0	0	0	0
ENSG00000224418	8	12	0	9	11	9
ENSG00000217686	0	0	0	0	0	0
ENSG00000233549	0	0	0	0	0	0
ENSG00000233662	0	0	0	0	0	0
ENSG00000243366	0	0	2	0	0	1
ENSG00000088386	1	1	12	3	19	13
ENSG00000088387	306	153	236	219	266	294
ENSG00000229918	0	0	0	0	0	0
ENSG00000275919	0	0	0	0	0	0
ENSG00000231981	0	0	0	0	0	0
ENSG00000207298	0	0	0	0	0	0
ENSG00000260992	11	9	15	0	8	6
ENSG00000230871	0	0	0	0	0	0
ENSG00000228889	30	24	20	27	29	15
ENSG00000234005	0	0	0	0	0	0
ENSG00000134882	1311	913	1285	668	1055	678
ENSG00000201793	0	0	1	12	3	2
ENSG00000218502	0	0	0	0	0	1
ENSG00000125245	0	0	0	0	0	0
ENSG00000169508	5	1	3	3	35	25
ENSG00000207719	0	0	0	0	0	0
ENSG00000228808	1	0	2	0	0	0
ENSG00000238241	0	0	0	0	0	0
ENSG00000285448	0	0	0	0	2	0
ENSG00000125304	2863	2542	2579	2167	3598	2335
ENSG00000280734	26	10	3	6	14	0
ENSG00000280710	0	0	0	0	2	0
ENSG00000203441	7	0	0	0	0	0
ENSG00000234168	0	0	0	0	0	0
ENSG00000234239	0	0	0	0	0	0
ENSG00000287746	0	0	0	0	0	0
ENSG00000125246	248	232	213	136	311	219
ENSG00000263615	0	0	0	0	0	0
ENSG00000227659	2	0	0	0	0	0
ENSG00000234303	0	0	0	0	0	0
ENSG00000201245	0	0	0	0	0	0
ENSG00000288581	5	0	0	0	0	0
ENSG00000286757	181	77	91	185	329	385
ENSG00000139800	1707	1301	1296	1506	1243	1651
ENSG00000288060	13	22	12	5	44	17
ENSG00000043355	7276	5476	5178	4047	5925	5536
ENSG00000260738	0	0	0	2	3	0
ENSG00000225999	0	0	0	0	0	0
ENSG00000274605	104	67	67	81	116	100
ENSG00000236554	2	0	0	0	0	0
ENSG00000175198	1263	952	1304	472	1023	635
ENSG00000228501	16	31	26	25	20	16
ENSG00000270632	0	0	0	0	0	0
ENSG00000287330	0	0	6	0	0	0
ENSG00000234650	0	0	0	0	0	0
ENSG00000134864	52	37	30	21	25	26
ENSG00000224356	1	0	0	0	5	0
ENSG00000280169	10	6	0	0	2	2
ENSG00000234354	0	0	0	1	5	9
ENSG00000125247	1891	1858	1557	455	911	668
ENSG00000237082	8	12	3	0	3	1
ENSG00000233009	6	8	2	1	5	2
ENSG00000214051	0	0	0	0	0	0
ENSG00000229599	0	0	0	0	0	0
ENSG00000102452	334	238	239	178	93	161
ENSG00000198542	1	1	13	32	46	36
ENSG00000102466	1025	929	546	281	521	367
ENSG00000276012	0	0	0	0	0	0
ENSG00000201155	0	0	0	0	0	0
ENSG00000215399	0	0	0	0	0	0
ENSG00000265164	0	0	0	0	0	0
ENSG00000229975	0	0	0	0	0	0
ENSG00000201690	0	0	0	0	0	0
ENSG00000264482	0	0	0	0	0	0
ENSG00000236860	14	9	5	3	26	4
ENSG00000243319	1	0	4	0	0	0
ENSG00000279702	0	0	0	0	0	0
ENSG00000234445	0	0	0	0	0	0
ENSG00000272143	282	275	280	160	216	179
ENSG00000261057	0	0	0	0	0	0
ENSG00000276957	10	6	0	1	0	5
ENSG00000134900	1488	1117	1194	722	1193	1020
ENSG00000139780	0	0	0	0	0	0
ENSG00000175820	23	19	21	3	5	0
ENSG00000231633	0	0	0	0	0	0
ENSG00000286312	0	0	0	0	0	2
ENSG00000151287	258	174	280	58	142	152
ENSG00000134901	238	226	264	212	369	218
ENSG00000270181	0	0	0	0	0	0
ENSG00000134897	813	519	473	346	754	532
ENSG00000134899	13	22	31	5	20	14
ENSG00000250878	0	0	0	0	0	0
ENSG00000272542	0	2	0	0	0	0
ENSG00000278445	0	0	0	0	0	0
ENSG00000125255	2	0	0	0	0	0
ENSG00000285789	0	0	0	0	0	0
ENSG00000234551	0	0	0	0	0	0
ENSG00000230474	0	0	0	0	0	0
ENSG00000287734	0	0	0	0	0	0
ENSG00000225823	0	1	1	0	0	0
ENSG00000286929	0	0	0	0	0	0
ENSG00000232307	0	0	0	0	0	0
ENSG00000275968	0	0	0	0	0	0
ENSG00000275502	0	0	0	0	0	0
ENSG00000182346	0	0	0	0	0	0
ENSG00000280455	0	0	0	0	0	0
ENSG00000226620	0	0	0	0	0	0
ENSG00000252550	0	0	0	0	0	0
ENSG00000287923	1	0	2	3	12	0
ENSG00000222682	0	0	0	0	0	2
ENSG00000286780	0	0	0	0	0	0
ENSG00000233532	0	0	0	0	0	0
ENSG00000174418	0	11	0	0	4	2
ENSG00000125266	6827	4948	4555	2284	2944	2340
ENSG00000284966	8	22	0	7	0	0
ENSG00000274204	0	4	1	0	1	2
ENSG00000134884	9927	4187	5331	2414	4772	3803
ENSG00000272274	1	1	2	2	4	4
ENSG00000230156	0	3	0	0	3	0
ENSG00000227590	0	0	0	0	0	0
ENSG00000287546	0	0	0	0	0	0
ENSG00000278698	0	0	0	0	0	4
ENSG00000174408	0	0	0	0	0	0
ENSG00000277863	0	0	0	0	0	0
ENSG00000279157	0	0	0	0	0	0
ENSG00000285643	0	0	0	0	0	0
ENSG00000204442	1173	1008	983	606	988	864
ENSG00000201847	1	0	0	0	0	0
ENSG00000276740	2	0	1	0	0	2
ENSG00000221650	0	0	0	0	2	0
ENSG00000227248	3	2	0	1	6	0
ENSG00000286343	3	0	0	0	0	0
ENSG00000274718	10	7	8	0	13	7
ENSG00000174405	465	236	378	128	380	251
ENSG00000139826	366	319	312	202	338	255
ENSG00000102524	18	34	16	14	38	22
ENSG00000277246	6	9	7	6	0	7
ENSG00000223177	0	0	0	0	0	0
ENSG00000283384	0	0	0	0	0	0
ENSG00000232087	0	0	0	0	0	0
ENSG00000041515	244	123	145	133	105	169
ENSG00000229938	0	0	0	0	0	0
ENSG00000236242	0	0	0	0	0	0
ENSG00000275216	1	0	4	0	0	0
ENSG00000223617	0	0	0	0	0	0
ENSG00000236053	0	0	0	0	0	0
ENSG00000229792	0	0	0	0	0	0
ENSG00000285534	0	0	0	0	0	0
ENSG00000234854	0	0	0	0	0	0
ENSG00000185950	2707	2246	1848	805	2406	1375
ENSG00000275741	0	0	0	0	0	0
ENSG00000275248	0	0	0	0	3	0
ENSG00000201161	0	0	0	0	0	0
ENSG00000274331	0	0	0	0	0	0
ENSG00000275830	0	0	0	0	0	0
ENSG00000276269	0	0	0	0	0	0
ENSG00000231428	0	0	0	0	0	0
ENSG00000265885	0	0	0	0	0	0
ENSG00000279965	6	0	4	0	11	24
ENSG00000287575	0	0	0	0	2	0
ENSG00000187498	297	365	359	480	1397	834
ENSG00000279237	0	0	0	0	0	0
ENSG00000134871	870	791	789	697	2625	1391
ENSG00000276765	0	0	0	0	0	0
ENSG00000224821	0	0	0	0	0	0
ENSG00000232814	0	0	0	0	0	0
ENSG00000139832	14	36	24	32	92	53
ENSG00000275880	2	1	1	0	6	0
ENSG00000213995	564	459	473	392	409	328
ENSG00000134905	625	410	491	391	657	365
ENSG00000153487	702	532	604	209	479	363
ENSG00000225239	0	0	1	0	0	0
ENSG00000259831	0	0	0	0	0	0
ENSG00000255874	15	16	1	6	10	26
ENSG00000088448	1773	1269	1288	651	739	834
ENSG00000229152	36	13	20	7	10	12
ENSG00000277767	6	13	5	0	7	18
ENSG00000227105	2	1	10	3	4	0
ENSG00000275989	0	0	0	0	0	0
ENSG00000225760	0	0	0	0	0	0
ENSG00000225870	0	0	0	0	0	0
ENSG00000286824	7	1	4	3	0	0
ENSG00000235875	46	48	23	6	16	2
ENSG00000102606	2085	1576	1486	872	1263	1468
ENSG00000233644	0	0	5	0	0	0
ENSG00000227352	0	0	0	0	0	0
ENSG00000285856	2	0	0	0	0	0
ENSG00000274614	0	0	0	0	0	0
ENSG00000153495	15	2	5	0	6	5
ENSG00000204398	0	5	0	0	0	0
ENSG00000215881	0	0	0	0	0	0
ENSG00000226903	43	9	1	0	7	0
ENSG00000200072	0	0	0	0	0	0
ENSG00000224243	16	8	32	8	7	12
ENSG00000182968	1120	916	553	165	252	317
ENSG00000260385	0	7	0	0	0	0
ENSG00000229520	0	0	0	0	0	0
ENSG00000260102	0	0	0	0	0	0
ENSG00000260343	0	0	0	0	0	0
ENSG00000223626	0	0	0	0	0	0
ENSG00000153498	0	0	0	0	0	0
ENSG00000126216	258	285	287	151	173	203
ENSG00000277159	29	24	6	43	11	14
ENSG00000197595	0	0	0	0	0	0
ENSG00000274922	17	12	5	10	23	17
ENSG00000068650	445	316	330	507	672	469
ENSG00000232684	0	0	0	0	0	0
ENSG00000277545	0	0	0	0	0	0
ENSG00000126217	1099	727	690	274	489	417
ENSG00000267868	31	45	44	7	38	19
ENSG00000235280	27	2	16	14	24	10
ENSG00000269356	5	0	0	0	0	0
ENSG00000269376	0	0	2	0	3	0
ENSG00000057593	88	17	112	118	215	96
ENSG00000126218	136	200	167	142	272	131
ENSG00000231882	0	0	3	10	4	2
ENSG00000230371	0	3	4	0	0	0
ENSG00000283828	18	19	32	5	1	3
ENSG00000126231	2	2	0	2	6	3
ENSG00000269125	3	5	0	6	0	0
ENSG00000126226	1008	711	696	504	707	499
ENSG00000139842	1242	1185	1118	773	1170	825
ENSG00000277942	0	0	0	0	0	0
ENSG00000232662	0	0	0	1	0	0
ENSG00000185896	3896	3673	3231	2298	5476	3234
ENSG00000139835	64	43	53	6	49	24
ENSG00000276434	0	0	0	0	0	0
ENSG00000225083	0	0	0	0	0	0
ENSG00000153531	90	125	46	111	140	111
ENSG00000150401	126	187	121	85	145	107
ENSG00000233613	34	21	23	24	18	13
ENSG00000202347	37	27	4	0	11	8
ENSG00000150403	561	574	746	1169	896	1005
ENSG00000276916	4	0	5	0	0	0
ENSG00000276248	3	3	1	0	6	13
ENSG00000198176	1137	847	1117	711	1101	924
ENSG00000186009	15	1	28	12	4	3
ENSG00000185974	0	0	0	0	0	0
ENSG00000279770	0	0	0	0	0	0
ENSG00000184497	12	11	15	41	45	38
ENSG00000233695	6	1	5	0	8	4
ENSG00000183087	274	237	228	323	428	281
ENSG00000272695	7	2	7	0	15	14
ENSG00000237699	0	0	0	0	0	0
ENSG00000226921	0	0	0	0	0	0
ENSG00000274766	0	0	0	0	0	0
ENSG00000229373	0	0	0	0	0	0
ENSG00000260910	19	10	16	0	15	5
ENSG00000283199	0	0	0	0	0	0
ENSG00000185989	48	69	42	49	45	25
ENSG00000232487	0	0	0	0	0	0
ENSG00000283361	48	13	5	43	60	33
ENSG00000283347	0	0	0	0	0	0
ENSG00000130177	2067	1474	2115	1254	1508	1376
ENSG00000264539	0	0	0	0	0	0
ENSG00000265450	0	0	0	0	0	0
ENSG00000285672	0	0	0	0	0	0
ENSG00000169062	427	260	339	107	258	141
ENSG00000226158	0	0	0	0	0	0
ENSG00000198824	852	470	626	239	480	340
ENSG00000229723	0	0	0	0	0	0
ENSG00000260615	8	2	0	1	2	0
ENSG00000283274	0	0	0	0	0	0
ENSG00000215398	0	0	0	0	0	0
ENSG00000206906	0	0	0	0	0	0
ENSG00000257171	0	0	0	0	0	0
ENSG00000257356	0	0	0	0	0	0
ENSG00000257959	0	0	0	0	0	0
ENSG00000257721	0	0	0	0	0	0
ENSG00000258367	0	0	0	0	0	0
ENSG00000257825	0	0	0	0	0	0
ENSG00000257115	0	0	0	0	0	0
ENSG00000257672	0	0	0	0	0	0
ENSG00000258233	0	0	0	0	0	0
ENSG00000257504	0	0	0	0	0	0
ENSG00000257644	0	0	0	0	0	0
ENSG00000257175	0	0	0	0	0	0
ENSG00000258364	0	0	0	0	0	0
ENSG00000257731	0	2	0	0	0	0
ENSG00000258076	0	0	0	0	0	0
ENSG00000257558	0	0	0	0	0	0
ENSG00000239200	4	0	0	1	0	0
ENSG00000257635	0	0	0	0	0	0
ENSG00000257224	0	0	0	0	0	0
ENSG00000277529	0	0	0	0	0	0
ENSG00000277367	0	0	0	0	0	0
ENSG00000278143	0	0	0	0	0	0
ENSG00000257853	0	0	0	0	0	0
ENSG00000257891	0	0	0	0	0	0
ENSG00000258265	0	0	0	0	0	0
ENSG00000222036	0	0	0	0	0	0
ENSG00000275563	0	0	0	0	0	0
ENSG00000212612	0	0	0	0	0	0
ENSG00000258314	0	0	0	0	0	0
ENSG00000274369	0	0	0	0	0	0
ENSG00000225210	0	0	0	0	0	0
ENSG00000286614	0	0	0	0	0	0
ENSG00000277128	0	0	0	0	0	0
ENSG00000277710	0	0	0	0	0	0
ENSG00000278594	0	0	0	0	0	0
ENSG00000196143	0	0	0	0	0	0
ENSG00000271632	0	0	0	0	0	0
ENSG00000277252	0	0	0	0	0	0
ENSG00000258781	0	0	0	0	0	0
ENSG00000285990	0	0	0	0	0	0
ENSG00000257310	0	0	0	0	0	0
ENSG00000277156	0	0	0	0	0	0
ENSG00000244306	0	0	0	0	0	0
ENSG00000228294	0	0	0	0	0	0
ENSG00000287515	0	0	0	0	0	0
ENSG00000274827	0	0	0	0	0	0
ENSG00000278301	0	0	0	0	0	0
ENSG00000187537	0	0	0	0	0	0
ENSG00000276888	0	0	0	0	0	0
ENSG00000212516	0	0	0	0	0	0
ENSG00000257162	0	0	0	0	0	0
ENSG00000258027	0	0	0	0	0	0
ENSG00000273639	0	0	0	0	0	0
ENSG00000274649	0	0	0	0	0	0
ENSG00000278184	0	0	0	0	0	0
ENSG00000257432	0	0	0	0	0	0
ENSG00000273558	0	0	0	0	0	0
ENSG00000258324	0	0	0	0	0	0
ENSG00000257493	0	0	0	0	0	0
ENSG00000257751	0	0	0	0	0	0
ENSG00000257846	0	0	0	0	0	0
ENSG00000259069	0	0	0	0	0	0
ENSG00000257884	0	0	6	5	3	3
ENSG00000257395	0	0	0	0	0	0
ENSG00000258080	0	0	0	0	0	0
ENSG00000257142	0	0	0	0	0	0
ENSG00000258453	0	0	0	0	0	0
ENSG00000176294	0	0	0	0	0	0
ENSG00000258438	0	0	0	0	0	0
ENSG00000182652	0	0	0	0	0	0
ENSG00000176312	0	0	0	0	0	0
ENSG00000176299	0	0	0	0	0	0
ENSG00000258564	0	0	0	0	0	0
ENSG00000228304	0	0	0	0	0	0
ENSG00000176290	0	0	0	0	0	0
ENSG00000165762	0	0	0	0	0	0
ENSG00000258541	0	0	0	0	0	0
ENSG00000259016	0	0	0	0	0	0
ENSG00000176281	0	0	0	0	0	0
ENSG00000155249	0	0	0	0	0	0
ENSG00000258822	0	0	0	0	0	0
ENSG00000169488	0	0	0	0	0	0
ENSG00000196383	0	0	0	0	0	0
ENSG00000169484	0	0	0	0	0	0
ENSG00000176253	0	0	0	0	0	0
ENSG00000258899	0	0	0	0	0	0
ENSG00000176246	0	0	0	0	0	0
ENSG00000252999	0	0	0	0	0	0
ENSG00000258641	0	0	0	0	0	0
ENSG00000176230	0	0	0	0	0	0
ENSG00000184394	0	0	0	0	0	0
ENSG00000259074	0	0	0	0	0	0
ENSG00000259095	0	0	0	0	0	0
ENSG00000258468	0	0	0	0	0	0
ENSG00000284742	0	0	0	0	0	0
ENSG00000196832	0	2	0	0	0	0
ENSG00000258625	0	0	0	0	0	0
ENSG00000176219	0	0	0	0	0	0
ENSG00000258806	0	0	0	0	0	0
ENSG00000176198	0	0	0	0	0	0
ENSG00000136319	526	532	483	311	571	527
ENSG00000258768	15	23	12	7	10	16
ENSG00000258459	0	0	0	0	0	0
ENSG00000100814	1308	1014	1247	419	896	481
ENSG00000287735	0	0	0	0	0	0
ENSG00000222489	105	89	239	418	232	346
ENSG00000238344	0	0	0	0	0	0
ENSG00000259001	0	0	0	0	0	0
ENSG00000277209	0	0	0	0	0	0
ENSG00000129484	804	528	578	288	642	418
ENSG00000254846	0	0	0	0	0	0
ENSG00000129566	84	68	59	115	86	148
ENSG00000200225	0	3	5	35	8	11
ENSG00000185271	0	0	0	0	0	0
ENSG00000259162	0	0	0	0	0	0
ENSG00000092094	336	207	190	106	116	151
ENSG00000258515	0	0	0	0	0	0
ENSG00000100823	5459	4722	4043	1630	2820	2387
ENSG00000165782	627	501	452	243	500	310
ENSG00000198805	415	360	520	277	309	221
ENSG00000258908	0	0	0	0	0	0
ENSG00000182545	0	0	0	0	0	0
ENSG00000258456	0	0	0	0	0	0
ENSG00000258863	0	0	0	0	1	0
ENSG00000188655	0	0	0	0	0	0
ENSG00000259060	0	0	0	0	0	0
ENSG00000173464	0	0	0	0	0	0
ENSG00000258573	0	0	0	0	0	0
ENSG00000258436	0	0	0	0	0	0
ENSG00000239327	0	0	0	0	0	0
ENSG00000181803	0	0	0	0	0	0
ENSG00000199461	0	0	0	0	0	0
ENSG00000214274	65	67	56	119	340	156
ENSG00000258818	0	0	0	5	2	0
ENSG00000259171	0	0	0	0	0	0
ENSG00000258451	0	0	0	0	0	4
ENSG00000259144	0	0	1	0	0	0
ENSG00000258963	0	0	0	0	0	0
ENSG00000181562	0	0	0	0	0	0
ENSG00000181552	0	0	0	0	0	0
ENSG00000169413	0	0	0	2	0	0
ENSG00000258810	0	0	0	0	0	0
ENSG00000129538	17	24	58	20	65	61
ENSG00000259130	0	0	0	0	0	0
ENSG00000258642	0	0	0	0	0	0
ENSG00000169397	0	0	0	0	0	0
ENSG00000258918	0	0	0	0	0	0
ENSG00000258772	0	0	0	0	0	0
ENSG00000136315	0	0	0	0	0	0
ENSG00000169385	0	0	0	4	9	0
ENSG00000243817	0	0	0	0	0	0
ENSG00000258599	0	2	0	0	0	0
ENSG00000165792	558	416	466	167	294	155
ENSG00000258471	0	0	1	0	8	0
ENSG00000165794	7	26	13	6	15	0
ENSG00000165795	2467	1814	1982	1177	3346	1839
ENSG00000284122	0	0	0	0	0	0
ENSG00000179636	3	0	5	0	3	0
ENSG00000258604	0	6	0	0	0	0
ENSG00000255472	0	0	0	0	0	0
ENSG00000206150	0	0	0	0	0	0
ENSG00000165799	11	2	35	60	43	29
ENSG00000173431	0	0	0	0	0	0
ENSG00000165801	974	723	650	386	821	622
ENSG00000165804	2632	2587	2401	974	1643	1291
ENSG00000232070	38	29	18	14	8	18
ENSG00000178107	0	0	0	0	0	0
ENSG00000258722	0	0	4	0	0	0
ENSG00000200102	0	0	0	0	0	0
ENSG00000169327	0	0	0	0	0	0
ENSG00000259102	11	4	5	6	5	2
ENSG00000258906	0	0	0	0	0	0
ENSG00000258441	770	468	402	176	293	295
ENSG00000092199	6035	4584	5484	3187	6141	3446
ENSG00000092200	9	2	2	5	2	0
ENSG00000092201	8172	4936	5788	3158	6095	3905
ENSG00000260830	4	3	7	0	0	4
ENSG00000100888	3183	2158	2176	1393	2549	1783
ENSG00000199436	0	5	0	0	0	4
ENSG00000200785	0	0	0	0	0	0
ENSG00000241035	0	1	0	0	0	0
ENSG00000258870	0	0	0	0	0	0
ENSG00000274475	0	0	0	0	0	0
ENSG00000129472	1524	1199	1182	665	1340	1126
ENSG00000092203	1088	737	607	426	818	617
ENSG00000165819	535	375	427	268	386	285
ENSG00000165821	1997	1764	1354	572	1224	935
ENSG00000257096	0	0	0	0	0	0
ENSG00000256737	3	0	2	0	0	0
ENSG00000169208	0	0	0	0	0	0
ENSG00000256081	0	0	0	0	0	0
ENSG00000273586	0	0	0	0	0	0
ENSG00000256385	0	0	0	0	0	0
ENSG00000255569	0	0	0	0	0	0
ENSG00000255582	0	0	0	0	0	0
ENSG00000256553	0	0	0	0	0	0
ENSG00000255664	0	0	0	0	0	0
ENSG00000221977	0	0	0	0	0	0
ENSG00000276240	0	0	0	0	0	0
ENSG00000256350	0	0	0	0	0	0
ENSG00000211776	0	0	0	0	0	0
ENSG00000248358	0	0	0	0	0	0
ENSG00000211777	0	0	0	0	0	0
ENSG00000211778	0	0	0	0	0	0
ENSG00000211779	0	0	0	0	0	0
ENSG00000240954	0	6	1	1	1	2
ENSG00000211780	0	0	0	0	0	1
ENSG00000211781	0	0	0	0	0	0
ENSG00000211782	0	0	0	0	0	0
ENSG00000211783	0	0	0	0	0	0
ENSG00000211784	0	0	0	0	0	0
ENSG00000256474	0	0	0	0	0	0
ENSG00000211785	0	0	0	0	0	0
ENSG00000211786	0	0	0	0	0	0
ENSG00000211787	0	0	0	0	0	0
ENSG00000211788	0	0	0	0	0	0
ENSG00000211789	0	0	0	0	0	0
ENSG00000211790	0	0	0	0	0	0
ENSG00000256379	0	0	0	0	0	0
ENSG00000211791	0	0	0	0	0	0
ENSG00000211792	0	0	0	0	0	0
ENSG00000211793	0	0	0	0	0	0
ENSG00000258482	0	0	0	0	0	0
ENSG00000258557	0	0	0	0	0	0
ENSG00000211794	0	0	0	0	0	0
ENSG00000211795	0	0	0	0	0	0
ENSG00000211796	0	0	0	0	0	0
ENSG00000211797	0	0	0	0	0	0
ENSG00000211798	0	0	0	0	0	0
ENSG00000211799	0	0	0	0	0	0
ENSG00000258705	0	0	0	0	0	0
ENSG00000211800	0	0	0	0	0	0
ENSG00000211801	0	0	0	0	0	0
ENSG00000276428	0	0	0	0	0	0
ENSG00000211802	0	0	0	0	0	0
ENSG00000211803	0	0	0	0	0	0
ENSG00000211804	0	0	0	0	0	0
ENSG00000211805	0	0	0	0	0	0
ENSG00000211806	0	0	0	0	0	0
ENSG00000211807	0	0	0	0	0	0
ENSG00000211808	0	0	0	0	0	0
ENSG00000211809	0	0	0	0	0	0
ENSG00000258835	0	0	0	0	0	0
ENSG00000211810	0	0	0	0	0	0
ENSG00000259092	0	0	0	0	0	0
ENSG00000249048	0	0	0	0	0	0
ENSG00000258905	0	0	0	0	0	0
ENSG00000258812	0	0	0	0	0	0
ENSG00000251002	12	8	11	7	2	2
ENSG00000211812	0	0	0	0	0	0
ENSG00000211813	0	0	0	0	0	0
ENSG00000211814	0	0	0	0	0	0
ENSG00000211815	0	0	0	0	0	0
ENSG00000259068	0	0	0	0	0	0
ENSG00000211816	0	0	0	0	0	0
ENSG00000211817	0	0	0	0	0	0
ENSG00000211818	0	0	0	0	0	0
ENSG00000211819	0	0	0	0	0	0
ENSG00000211820	0	0	0	0	0	0
ENSG00000256221	0	0	0	0	0	0
ENSG00000259042	0	0	0	0	0	0
ENSG00000211821	0	0	0	0	0	0
ENSG00000223997	0	0	0	0	0	0
ENSG00000237235	0	0	0	0	0	0
ENSG00000228985	0	0	0	0	0	0
ENSG00000211825	0	0	0	0	0	0
ENSG00000211826	0	0	0	0	0	0
ENSG00000211827	0	0	0	0	0	0
ENSG00000211828	0	0	0	0	0	0
ENSG00000211829	0	0	0	0	13	5
ENSG00000256590	0	0	0	0	0	0
ENSG00000211831	0	0	0	0	0	0
ENSG00000249446	0	0	0	0	0	0
ENSG00000211832	0	0	0	0	0	0
ENSG00000211833	0	0	0	0	0	0
ENSG00000211834	0	0	0	0	0	0
ENSG00000211835	0	0	0	0	0	0
ENSG00000250688	0	0	0	0	0	0
ENSG00000211836	0	0	0	0	0	0
ENSG00000211837	0	0	0	0	0	0
ENSG00000211838	0	0	0	0	0	0
ENSG00000248366	0	0	0	0	0	0
ENSG00000211839	0	0	0	0	0	0
ENSG00000211840	0	0	0	0	0	0
ENSG00000211841	0	0	0	0	0	0
ENSG00000211842	0	0	0	0	0	0
ENSG00000211843	0	0	0	0	0	0
ENSG00000211844	0	0	0	0	0	0
ENSG00000211845	0	0	0	0	0	0
ENSG00000211846	0	0	0	0	0	0
ENSG00000211847	0	0	0	0	0	0
ENSG00000211848	0	0	0	0	0	0
ENSG00000211849	0	0	0	0	0	0
ENSG00000211850	0	0	0	0	0	0
ENSG00000211851	0	0	0	0	0	0
ENSG00000278661	0	0	0	0	0	0
ENSG00000276699	0	0	0	0	0	0
ENSG00000211854	0	0	0	0	0	0
ENSG00000211855	0	0	0	0	0	0
ENSG00000211856	0	0	0	0	0	0
ENSG00000211857	0	0	0	0	0	0
ENSG00000211858	0	0	0	0	0	0
ENSG00000211859	0	0	0	0	0	0
ENSG00000211860	0	0	0	0	0	0
ENSG00000211861	0	0	0	0	0	0
ENSG00000211862	0	0	0	0	0	0
ENSG00000211863	0	0	0	0	0	0
ENSG00000211864	0	0	0	0	0	0
ENSG00000211865	0	0	0	0	0	0
ENSG00000211866	0	0	0	0	0	0
ENSG00000211867	0	0	0	0	0	0
ENSG00000211868	0	0	0	0	0	0
ENSG00000211869	1	0	0	0	0	0
ENSG00000211870	0	0	0	0	0	0
ENSG00000211871	0	0	0	0	0	0
ENSG00000211872	0	0	0	0	0	0
ENSG00000211873	0	0	0	0	0	0
ENSG00000211875	0	0	0	0	0	0
ENSG00000211876	0	0	0	0	0	0
ENSG00000211877	0	0	0	0	0	0
ENSG00000211878	0	0	0	0	0	0
ENSG00000211879	0	0	0	0	0	0
ENSG00000211880	0	0	0	0	0	0
ENSG00000211881	0	0	0	0	0	0
ENSG00000211882	0	0	0	0	0	0
ENSG00000211883	0	0	0	0	0	0
ENSG00000211884	0	0	0	0	0	0
ENSG00000211885	0	0	0	0	0	0
ENSG00000211886	0	0	0	0	0	0
ENSG00000211887	0	0	0	0	0	0
ENSG00000211888	0	0	0	0	0	0
ENSG00000277734	28	34	33	44	49	44
ENSG00000259054	0	0	0	9	0	0
ENSG00000259003	0	0	0	0	0	0
ENSG00000129562	1329	1356	1237	1230	2023	1302
ENSG00000275552	1	1	0	8	0	10
ENSG00000100439	395	349	307	178	461	299
ENSG00000255804	0	0	0	0	0	0
ENSG00000242061	6	0	7	0	0	0
ENSG00000258458	12	6	5	0	21	8
ENSG00000235213	0	0	0	0	0	0
ENSG00000258823	0	0	0	0	0	0
ENSG00000212302	10	1	0	0	2	0
ENSG00000155463	1686	1328	1615	1035	1950	1152
ENSG00000155465	31	22	12	66	152	96
ENSG00000172590	1298	1213	1397	855	1246	875
ENSG00000157227	867	768	727	1646	3864	2046
ENSG00000212335	0	0	0	0	0	0
ENSG00000199716	0	0	0	0	0	0
ENSG00000197324	888	524	597	647	1556	846
ENSG00000139890	204	171	117	91	82	96
ENSG00000100461	2498	1828	2434	1613	2258	1665
ENSG00000237054	0	0	0	0	0	0
ENSG00000100462	1201	1094	931	425	1008	612
ENSG00000257285	16	7	5	45	57	30
ENSG00000092036	24	22	38	34	21	25
ENSG00000259132	0	0	0	0	0	0
ENSG00000284118	0	0	0	0	0	0
ENSG00000129474	799	516	740	390	783	511
ENSG00000258457	69	46	63	47	96	41
ENSG00000100802	190	79	151	137	151	171
ENSG00000280129	11	23	10	0	10	5
ENSG00000100804	3446	3515	3472	2324	3731	2564
ENSG00000279656	35	18	43	18	40	35
ENSG00000222028	0	0	0	0	0	0
ENSG00000139880	121	84	81	72	70	101
ENSG00000100813	3550	1993	1997	1347	2640	1876
ENSG00000179933	658	641	694	418	832	485
ENSG00000283654	0	0	0	0	0	0
ENSG00000092067	3	1	0	0	0	0
ENSG00000092068	1230	848	1242	719	2023	916
ENSG00000202229	1	0	0	0	0	0
ENSG00000215277	6	3	3	0	2	0
ENSG00000240131	0	0	0	0	0	0
ENSG00000252347	0	4	3	0	0	3
ENSG00000215271	215	161	208	109	141	78
ENSG00000270433	0	0	2	1	7	0
ENSG00000235194	316	167	188	49	166	114
ENSG00000129473	132	74	74	46	130	37
